trial,testing,parameters,net_reward,age,success
1742,False,"{'a': 0.3, 'e': 0.09941763900568995}",0.95,2,1
1743,False,"{'a': 0.3, 'e': 0.09890342834108933}",1.0,1,1
1744,False,"{'a': 0.3, 'e': 0.09839158671947135}",1.0,1,1
1745,False,"{'a': 0.3, 'e': 0.09788210622859238}",0.95,2,1
1746,False,"{'a': 0.3, 'e': 0.09737497895115944}",1.0,1,1
1747,False,"{'a': 0.3, 'e': 0.09687019696523023}",0.95,2,1
1748,False,"{'a': 0.3, 'e': 0.09636775234460951}",-0.49999999999999994,10,0
1749,False,"{'a': 0.3, 'e': 0.09586763715924136}",0.95,2,1
1750,False,"{'a': 0.3, 'e': 0.09536984347559785}",1.0,1,1
1751,False,"{'a': 0.3, 'e': 0.09487436335706376}",1.0,1,1
1752,False,"{'a': 0.3, 'e': 0.09438118886431751}",-0.49999999999999994,10,0
1753,False,"{'a': 0.3, 'e': 0.09389031205570825}",-0.49999999999999994,10,0
1754,False,"{'a': 0.3, 'e': 0.09340172498762926}",0.95,2,1
1755,False,"{'a': 0.3, 'e': 0.09291541971488747}",1.0,1,1
1756,False,"{'a': 0.3, 'e': 0.09243138829106926}",0.95,2,1
1757,False,"{'a': 0.3, 'e': 0.0919496227689025}",-0.49999999999999994,10,0
1758,False,"{'a': 0.3, 'e': 0.09147011520061482}",0.95,2,1
1759,False,"{'a': 0.3, 'e': 0.09099285763828818}",-0.49999999999999994,10,0
1760,False,"{'a': 0.3, 'e': 0.0905178421342097}",-0.49999999999999994,10,0
1761,False,"{'a': 0.3, 'e': 0.09004506074121879}",-0.49999999999999994,10,0
1762,False,"{'a': 0.3, 'e': 0.08957450551305059}",0.95,2,1
1763,False,"{'a': 0.3, 'e': 0.08910616850467576}",-0.49999999999999994,10,0
1764,False,"{'a': 0.3, 'e': 0.08864004177263651}",0.95,2,1
1765,False,"{'a': 0.3, 'e': 0.08817611737537913}",-0.49999999999999994,10,0
1766,False,"{'a': 0.3, 'e': 0.08771438737358271}",1.0,1,1
1767,False,"{'a': 0.3, 'e': 0.0872548438304844}",1.0,1,1
1768,False,"{'a': 0.3, 'e': 0.08679747881220093}",0.95,2,1
1769,False,"{'a': 0.3, 'e': 0.08634228438804666}",-0.49999999999999994,10,0
1770,False,"{'a': 0.3, 'e': 0.08588925263084793}",1.0,1,1
1771,False,"{'a': 0.3, 'e': 0.08543837561725397}",0.95,2,1
1772,False,"{'a': 0.3, 'e': 0.08498964542804414}",0.95,2,1
1773,False,"{'a': 0.3, 'e': 0.08454305414843177}",1.0,1,1
1774,False,"{'a': 0.3, 'e': 0.0840985938683644}",-0.49999999999999994,10,0
1775,False,"{'a': 0.3, 'e': 0.08365625668282048}",0.95,2,1
1776,False,"{'a': 0.3, 'e': 0.08321603469210283}",-0.49999999999999994,10,0
1777,False,"{'a': 0.3, 'e': 0.08277792000212823}",1.0,1,1
1778,False,"{'a': 0.3, 'e': 0.082341904724714}",1.0,1,1
1779,False,"{'a': 0.3, 'e': 0.08190798097786088}",0.95,2,1
1780,False,"{'a': 0.3, 'e': 0.08147614088603247}",1.0,1,1
1781,False,"{'a': 0.3, 'e': 0.08104637658043151}",-0.49999999999999994,10,0
1782,False,"{'a': 0.3, 'e': 0.08061868019927255}",1.0,1,1
1783,False,"{'a': 0.3, 'e': 0.08019304388805144}",-0.49999999999999994,10,0
1784,False,"{'a': 0.3, 'e': 0.07976945979981129}",1.0,1,1
1785,False,"{'a': 0.3, 'e': 0.07934792009540523}",1.0,1,1
1786,False,"{'a': 0.3, 'e': 0.07892841694375592}",-0.49999999999999994,10,0
1787,False,"{'a': 0.3, 'e': 0.0785109425221116}",0.95,2,1
1788,False,"{'a': 0.3, 'e': 0.07809548901629905}",0.95,2,1
1789,False,"{'a': 0.3, 'e': 0.0776820486209731}",1.0,1,1
1790,False,"{'a': 0.3, 'e': 0.07727061353986313}",1.0,1,1
1791,False,"{'a': 0.3, 'e': 0.07686117598601618}",-0.49999999999999994,10,0
1792,False,"{'a': 0.3, 'e': 0.07645372818203697}",1.0,1,1
1793,False,"{'a': 0.3, 'e': 0.0760482623603247}",0.95,2,1
1794,False,"{'a': 0.3, 'e': 0.07564477076330671}",-0.49999999999999994,10,0
1795,False,"{'a': 0.3, 'e': 0.07524324564366892}",0.95,2,1
1796,False,"{'a': 0.3, 'e': 0.07484367926458335}",1.0,1,1
1797,False,"{'a': 0.3, 'e': 0.07444606389993232}",-0.49999999999999994,10,0
1798,False,"{'a': 0.3, 'e': 0.07405039183452969}",0.95,2,1
